BP,Product,UnitPrice,Qty
"Bebidas Alegres, S.L.","Cerveza Lager 0,5L","1,75",48
"La Fruta es la Vida, S.L.","Zumo de Piña 0,5L","0,80",24
"Refrescos Naturales, S.A.",Agua sin Gas 1L,"1,02",12
"Telefonía SGT, SA",Telefonía,20,1
"SI Rapid, SA",Sistemas de información,100,1
"Servicios Inmobiliarios Los mejores, SA",Alquiler de oficina,4000,1
"Generación Eléctrica, SA",Electricidad,350,1
"BP","Product","UnitPrice","Qty"
"Hoteles Buenas Noches, S.A.","Bebida Energética 0,5L","0.48","1"
"Telefonía SGT, SA","Cerveza Ale 0,5L","0.81","1"
"Hoteles Buenas Noches, S.A.","Agua sin Gas 1L","1.31","2"
"Servicios Inmobiliarios Los mejores, SA","Agua sin Gas 1L","1.69","2"
"Alimentos y Supermercados, S.A","Cola 0,5L","4.22","5"
"Alimentos y Supermercados, S.A","Cola de Cereza 0,5L","4.68","5"
"La Fruta es la Vida, S.L.","Cerveza Ale 0,5L","5.89","6"
"Generación Eléctrica, SA","Vino Blanco 0,75L","6.14","7"
"Telefonía SGT, SA","Cola 0,5L","6.33","7"
"Generación Eléctrica, SA","Limonada 0,5L","8.13","9"
"Restaurantes Luna Llena, S.A.","Agua sin Gas 1L","11.52","12"
"La Fruta es la Vida, S.L.","Zumo de Naranja Bio 0,33L","11.92","12"
"Juan López","Cerveza Lager 0,5L","11.93","12"
"SI Rapid, SA","Limonada 0,5L","14.87","15"
"Refrescos Naturales, S.A.","Limonada 0,5L","14.94","15"
"Juan López","Cola de Cereza 0,5L","15.77","16"
"Restaurantes Luna Llena, S.A.","Cola de Cereza 0,5L","16.29","17"
"Telefonía SGT, SA","Bebida Energética 0,5L","16.81","17"
"Generación Eléctrica, SA","Cola de Cereza 0,5L","16.84","17"
"Generación Eléctrica, SA","Agua sin Gas 1L","16.86","17"
"Servicios Inmobiliarios Los mejores, SA","Cerveza Ale 0,5L","17.23","18"
"SI Rapid, SA","Zumo de Piña 0,5L","18.73","19"
"Servicios Inmobiliarios Los mejores, SA","Zumo de Naranja Bio 0,33L","19.16","20"
"Bebidas Alegres, S.L.","Cola de Cereza 0,5L","19.44","20"
"Juan López","Vino Rosado 0,75L","20.61","21"
"Refrescos Naturales, S.A.","Zumo de Naranja Bio 0,33L","21.18","22"
"Juan López","Agua sin Gas 1L","21.47","22"
"Refrescos Naturales, S.A.","Agua sin Gas 1L","21.71","22"
"Servicios Inmobiliarios Los mejores, SA","Zumo de Pera 0,5L","21.93","22"
